"
Proyecto de Ley
","
Fecha de Presentación
"
       
        
        
        
       
03764/2022-CR
","
13/12/2022
","
RESOLUCIÓN LEGISLATIVA QUE MODIFICA EL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA
","
Presentado
","
Congreso
","
 Calle Lobatón, Digna
"
"
       
        
        
        
       
03763/2022-CR
","
12/12/2022
","
LEY QUE MODIFICA EL DECRETO LEY 25977, LEY GENERAL DE PESCA, PARA UN MANEJO PESQUERO SOSTENIBLE Y TRANSPARENTE
","
En comisión
","
Congreso
","
 Ciccia Vásquez, Miguel Ángel; Jáuregui Martínez de Aguayo, María de los Milagros Jackeline; Cueto Aservi, José Ernesto; Montoya Manrique, Jorge Carlos; Muñante Barrios, Alejandro; Zeballos Aponte, Jorge Arturo; Padilla Romero, Javier Rommel
"
"
       
        
        
        
       
03762/2022-CR
","
12/12/2022
","
LEY QUE DENOMINA UNIVERSIDAD NACIONAL DE ARTE IGNACIO MERINO A LA ESCUELA SUPERIOR DE ARTE PÚBLICA IGNACIO MERINO DE PIURA
","
En comisión
","
Congreso
","
 Ciccia Vásquez, Miguel Ángel; Montoya Manrique, Jorge Carlos; Cueto Aservi, José Ernesto; Jáuregui Martínez de Aguayo, María de los Milagros Jackeline; Muñante Barrios, Alejandro; Zeballos Aponte, Jorge Arturo; Padilla Romero, Javier Rommel
"
"
       
        
        
        
       
03761/2022-CR
","
12/12/2022
","
LEY QUE ARTICULA Y REGULA LA PRÁCTICA DE LA MEDICINA ALTERNATIVA COMPLEMENTARIA E INTEGRATIVA Y TRADICIONAL AL SISTEMA NACIONAL DE EDUCACIÓN Y SALUD
","
En comisión
","
Congreso
","
 Ciccia Vásquez, Miguel Ángel; Montoya Manrique, Jorge Carlos; Cueto Aservi, José Ernesto; Muñante Barrios, Alejandro; Zeballos Aponte, Jorge Arturo; Padilla Romero, Javier Rommel
"
"
       
        
        
        
       
03760/2022-CR
","
12/12/2022
","
LEY QUE FACULTA OPCIONALMENTE, LA EMISIÓN ELECTRÓNICA DE LOS COMPROBANTES DE PAGO, A LOS USUARIOS DE LA ZONA COMERCIAL DE TACNA
","
En comisión
","
Congreso
","
 Tello Montes, Nivardo Edgar; Gutiérrez Ticona, Paul Silvio; Quiroz Barboza, Segundo Teodomiro; Vásquez Vela, Lucinda; Ugarte Mamani, Jhakeline Katy; Medina Hermosilla, Elizabeth Sara
"
"
       
        
        
        
       
03759/2022-CR
","
12/12/2022
","
LEY QUE PROMUEVE LA DEVOLUCIÓN DE APORTES REALIZADOS AL FONDO DE VIVIENDA POLICIAL, FONDO DE VIVIENDA DE LA MARINA, FONDO DE VIVIENDA DE LA FUERZA AÉREA DEL PERÚ Y FONDO DE VIVIENDA MILITAR DEL EJÉRCITO
","
En comisión
","
Congreso
","
 Martínez Talavera, Pedro Edwin; Arriola Tueros, José Alberto; Soto Palacios, Wilson; Mori Celis, Juan Carlos; Paredes Fonseca, Karol Ivett; Vergara Mendoza, Elvis Hernán; Monteza Facho, Silvia María
"
"
       
        
        
        
       
03758/2022-CR
","
12/12/2022
","
LEY QUE AUTORIZA AL PRESIDENTE DE LA REPÚBLICA A CONVOCAR A NUEVAS ELECCIONES GENERALES
","
En comisión
","
Congreso
","
 Acuña Peralta, María Grimaneza; Soto Reyes, Alejandro; Julón Irigoín, Elva Edhit; Torres Salinas, Rosio; Trigozo Reátegui, Cheryl; Ruíz Rodríguez, Magaly Rosmery
"
"
       
        
        
        
       
03757/2022-CR
","
12/12/2022
","
LEY QUE PROMUEVE LA CREACIÓN E IMPLEMENTACIÓN DE COMISARÍAS ESCOLARES EN LAS INSTITUCIONES EDUCATIVAS PÚBLICAS Y PRIVADAS
","
En comisión
","
Congreso
","
 Camones Soriano, Lady Mercedes; Julón Irigoín, Elva Edhit; García Correa, Idelso Manuel; Soto Reyes, Alejandro; Torres Salinas, Rosio; Ruíz Rodríguez, Magaly Rosmery; Salhuana Cavides, Eduardo
"
"
       
        
        
        
       
03756/2022-CR
","
12/12/2022
","
LEY QUE FORTALECE LOS ALCANCES DE LA LEY N° 29719, LEY QUE PROMUEVE LA CONVIVENCIA SIN VIOLENCIA EN LAS INSTITUCIONES EDUCATIVAS
","
En comisión
","
Congreso
","
 Ugarte Mamani, Jhakeline Katy; Gutiérrez Ticona, Paul Silvio; Tello Montes, Nivardo Edgar; Quiroz Barboza, Segundo Teodomiro; Vásquez Vela, Lucinda; Paredes Gonzales, Alex Antonio
"
"
       
        
        
        
       
03755/2022-PE
","
12/12/2022
","
LEY DE REFORMA CONSTITUCIONAL QUE MODIFICA EL MANDATO DE LA PRESIDENTA DE LA REPÚBLICA, DE LAS Y LOS CONGRESISTAS Y REPRESENTANTES ANTE EL PARLAMENTO ANDINO, Y ESTABLECE EL ADELANTO DE ELECCIONES GENERALES PARA EL AÑO 2024
","
En comisión
","
Poder Ejecutivo
",
"
       
        
        
        
       
03754/2022-CR
","
12/12/2022
","
LEY QUE RECONOCE EL DERECHO DE PAGO DEL DIFERENCIAL DE LA PENSIÓN CONSOLIDADA AL PERSONAL PENSIONISTA DE LAS FUERZAS ARMADAS Y POLICÍA NACIONAL QUE NO PERCIBIÓ DICHOS INGRESOS DURANTE EL PERÍODO 2013 AL 2017
","
En comisión
","
Congreso
","
 Burgos Oliveros, Juan Bartolomé
"
"
       
        
        
        
       
03753/2022-CR
","
12/12/2022
","
LEY QUE MODIFICA LA LEY N°27867, LEY ORGÁNICA DE GOBIERNOS REGIONALES Y LA LEY N°27972, LEY ORGÁNICA DE MUNICIPALIDADES E INCORPORA NUEVAS CAUSALES DE VACANCIA
","
En comisión
","
Congreso
","
 Jiménez Heredia, David Julio; Guerra García Campos, Hernando; Lizarzaburu Lizarzaburu, Juan Carlos Martin; Cordero Jon Tay, María Del Pilar; Alegría García, Arturo; Olivos Martínez, Vivian; Revilla Villanueva, César Manuel
"
